City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Razole,IN,71.89,scattered clouds,16.4833,81.8333,Sterling Palavelli Godavari
264,Mareeba,AU,80.65,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
265,Eyl,SO,68.83,few clouds,7.9803,49.8164,Amiin Hotel
266,Vao,NC,80.28,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
269,Antalaha,MG,76.35,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
271,Turbat,PK,61.92,clear sky,26.0023,63.044,Mubashar Quarters
273,Flinders,AU,73.2,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
274,Victoria,HK,60.24,overcast clouds,22.2855,114.1577,Mini Hotel Central
275,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
278,Domoni,KM,79.23,few clouds,-12.2569,44.5319,Al Djadid
279,Mount Pleasant,US,66.18,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
280,Benguela,AO,73.94,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
283,San Vicente,AR,67.66,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
284,Diffa,NE,61.65,clear sky,13.3154,12.6113,ProDAF/Diffa
285,Kainantu,PG,78.13,broken clouds,-6.2887,145.8655,Sylvester buku
286,Victor Harbor,AU,85.8,broken clouds,-35.5667,138.6167,McCracken Country Club
287,Feijo,BR,72.09,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
288,Hambantota,LK,71.94,few clouds,6.1241,81.1185,Bungalow 63
290,Sao Filipe,CV,73.08,clear sky,14.8961,-24.4956,Hotel Xaguate
291,Kruisfontein,ZA,65.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
293,Bailen,ES,56.66,overcast clouds,38.0964,-3.7779,Salvador
294,Lagoa,PT,57.78,broken clouds,39.05,-27.9833,Casa Das Faias
299,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
302,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
303,Champerico,GT,82.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
305,Guarapari,BR,73.29,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
309,Aviles,ES,54.37,light rain,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
310,Bontang,ID,82.62,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
315,Cockburn Town,TC,75.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
317,Collipulli,CL,58.44,overcast clouds,-37.95,-72.4333,Hotel Di Carlo
318,Kalabo,ZM,64.72,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
319,Coahuayana,MX,80.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
321,Moree,AU,80.62,clear sky,-29.4667,149.85,Molika Springs Motel
324,Balabac,PH,80.65,heavy intensity rain,7.9868,117.0645,Batalla’s Lodging House
326,Arica,CL,66.43,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
329,Cabanas,CU,73.87,clear sky,22.9758,-82.9219,Villa Luis Montesino y Anabel
330,Lorengau,PG,85.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
331,The Valley,AI,73.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
336,Harper,LR,78.66,light rain,4.375,-7.7169,Screensaver
337,Mabaruma,GY,73.18,few clouds,8.2,-59.7833,Monty Brooms Guest House
341,Ogaminana,NG,73.22,clear sky,7.5946,6.2248,Billy Guest Inn
343,Dakar,SN,70.68,clear sky,14.6937,-17.4441,Redface Studios Meublés
344,Tomatlan,MX,67.93,clear sky,19.9333,-105.25,El Salvial
345,Bria,CF,71.92,scattered clouds,6.5423,21.9863,WFP Guesthouse
347,Rawson,AR,59.59,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
352,Hobyo,SO,74.57,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
357,Faanui,PF,80.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
361,Mazamari,PE,70.5,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
362,Santa Cruz,BO,76.46,light rain,-17.8,-63.1667,Aviador Hotel Boutique
363,Kampong Cham,KH,81.09,overcast clouds,11.9934,105.4635,7 Makara Hotel
364,Codrington,AU,71.87,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
365,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
